task,method,lambda,seed,late_window_pass8_mean,late_window_greedy_mean
wikisql,reciprocal_linear,181.0,5000,0.83125,0.7524
wikisql,reciprocal_linear,271.0,5000,0.8234375,0.7672000000000001
wikisql,reciprocal_linear,401.0,5000,0.825,0.7676000000000001
wikisql,reciprocal_quadratic,32761.0,5000,0.8515625,0.7692
wikisql,reciprocal_quadratic,73441.0,5000,0.83125,0.7567999999999999
wikisql,reciprocal_quadratic,160801.0,5000,0.8203125,0.758
word_sorting,reciprocal_linear,601.0,4000,0.615625,0.4528
word_sorting,reciprocal_linear,901.0,4000,0.61875,0.458
word_sorting,reciprocal_linear,1351.0,4000,0.6078125,0.4535999999999999
word_sorting,reciprocal_linear,2025.0,4000,0.609375,0.4427999999999999
word_sorting,reciprocal_linear,3037.0,4000,0.6140625,0.4575999999999999
spiral_matrix,reciprocal_linear,181.0,4000,0.9890625,0.9884
spiral_matrix,reciprocal_linear,271.0,4000,0.9921875,0.9928
spiral_matrix,reciprocal_linear,401.0,4000,1.0,0.9988
spiral_matrix,reciprocal_linear,601.0,4000,0.99375,0.9952
spiral_matrix,reciprocal_linear,901.0,4000,1.0,0.9996
mini_sudoku,reciprocal_linear,601.0,4000,0.9578125,0.8844
mini_sudoku,reciprocal_linear,901.0,4000,0.9640625,0.904
mini_sudoku,reciprocal_linear,1351.0,4000,0.9703125,0.8936
mini_sudoku,reciprocal_linear,2025.0,4000,0.9671875,0.9024
mini_sudoku,reciprocal_linear,3037.0,4000,0.9609375,0.8916000000000001
word_ladder,reciprocal_linear,601.0,4000,0.121875,0.0416
word_ladder,reciprocal_linear,901.0,4000,0.1265625,0.0435999999999999
word_ladder,reciprocal_linear,1351.0,4000,0.1296875,0.0423999999999999
word_ladder,reciprocal_linear,2025.0,4000,0.1203125,0.0416
word_ladder,reciprocal_linear,3037.0,4000,0.121875,0.0431999999999999
graph_color,reciprocal_linear,2.0,4000,0.9875,0.9792
graph_color,reciprocal_linear,4.0,4000,0.99375,0.9872
graph_color,reciprocal_linear,5.0,4000,0.99375,0.974
graph_color,reciprocal_linear,10.0,4000,0.99375,0.9676
graph_color,reciprocal_linear,14.0,4000,0.9875,0.976
graph_color,reciprocal_quadratic,4.0,4000,0.990625,0.9844
graph_color,reciprocal_quadratic,16.0,4000,0.9984375,0.9732
graph_color,reciprocal_quadratic,25.0,4000,0.99375,0.9776
graph_color,reciprocal_quadratic,100.0,4000,0.9859375,0.9648
graph_color,reciprocal_quadratic,196.0,4000,0.98125,0.9636
word_sorting,reciprocal_linear,601.0,5000,0.63125,0.4652
word_sorting,reciprocal_linear,901.0,5000,0.6359375,0.4667999999999999
word_sorting,reciprocal_linear,1351.0,5000,0.6484375,0.4584
word_sorting,reciprocal_linear,2025.0,5000,0.6265625,0.4791999999999999
word_sorting,reciprocal_linear,3037.0,5000,0.646875,0.4640000000000001
spiral_matrix,reciprocal_linear,181.0,5000,0.9828125,0.97
spiral_matrix,reciprocal_linear,271.0,5000,0.9984375,0.9972
spiral_matrix,reciprocal_linear,401.0,5000,0.9984375,0.9948
spiral_matrix,reciprocal_linear,601.0,5000,1.0,0.9992
spiral_matrix,reciprocal_linear,901.0,5000,1.0,0.9988
mini_sudoku,reciprocal_linear,601.0,5000,0.94375,0.8844
mini_sudoku,reciprocal_linear,901.0,5000,0.9453125,0.8804000000000001
mini_sudoku,reciprocal_linear,1351.0,5000,0.9640625,0.884
mini_sudoku,reciprocal_linear,2025.0,5000,0.9578125,0.8912000000000001
mini_sudoku,reciprocal_linear,3037.0,5000,0.953125,0.884
word_ladder,reciprocal_linear,601.0,5000,0.1109375,0.046
word_ladder,reciprocal_linear,901.0,5000,0.1125,0.0492
word_ladder,reciprocal_linear,1351.0,5000,0.115625,0.046
word_ladder,reciprocal_linear,2025.0,5000,0.115625,0.0472
word_ladder,reciprocal_linear,3037.0,5000,0.1171875,0.0467999999999999
graph_color,reciprocal_linear,2.0,5000,0.990625,0.9599999999999996
graph_color,reciprocal_linear,4.0,5000,0.9921875,0.9748
graph_color,reciprocal_linear,5.0,5000,0.99375,0.9808
graph_color,reciprocal_linear,10.0,5000,0.9984375,0.9772
graph_color,reciprocal_linear,14.0,5000,0.9921875,0.9868
graph_color,reciprocal_quadratic,4.0,5000,0.996875,0.9832
graph_color,reciprocal_quadratic,16.0,5000,0.9984375,0.9904
graph_color,reciprocal_quadratic,25.0,5000,0.9890625,0.9751999999999998
graph_color,reciprocal_quadratic,100.0,5000,0.9953125,0.9724
graph_color,reciprocal_quadratic,196.0,5000,0.9828125,0.9752
